entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
170,198,2018-07-23 02:00:00,2018-07-23 04:20:00,-1,111.323,111.035,28.3
209,212,2018-07-23 05:15:00,2018-07-23 05:30:00,1,110.926,110.931,-0.0
246,284,2018-07-23 08:20:00,2018-07-23 11:30:00,1,110.936,110.975,3.4
310,316,2018-07-23 13:40:00,2018-07-23 14:10:00,1,111.145,111.102,-4.8
334,341,2018-07-23 15:40:00,2018-07-23 16:15:00,1,111.198,111.304,10.1
398,401,2018-07-23 21:00:00,2018-07-23 21:15:00,1,111.447,111.455,0.3
416,447,2018-07-23 22:30:00,2018-07-24 01:05:00,-1,111.411,111.296,11.0
532,552,2018-07-24 08:10:00,2018-07-24 09:50:00,1,111.321,111.427,10.1
608,617,2018-07-24 14:30:00,2018-07-24 15:15:00,-1,111.048,111.099,-5.6
624,624,2018-07-24 15:50:00,2018-07-24 15:50:00,1,111.174,111.174,-0.5
621,651,2018-07-24 15:35:00,2018-07-24 18:05:00,1,111.137,111.088,-5.4
654,658,2018-07-24 18:20:00,2018-07-24 18:40:00,1,111.127,111.201,6.9
707,710,2018-07-24 22:45:00,2018-07-24 23:00:00,-1,111.154,111.177,-2.8
743,782,2018-07-25 01:45:00,2018-07-25 05:00:00,1,111.233,111.270,3.2
822,823,2018-07-25 08:20:00,2018-07-25 08:25:00,-1,111.196,111.181,1.0
836,837,2018-07-25 09:30:00,2018-07-25 09:35:00,1,111.171,111.205,2.9
848,850,2018-07-25 10:30:00,2018-07-25 10:40:00,1,111.215,111.210,-1.0
854,855,2018-07-25 11:00:00,2018-07-25 11:05:00,1,111.246,111.286,3.5
878,879,2018-07-25 13:00:00,2018-07-25 13:05:00,1,111.134,111.160,2.1
