entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
188,190,2018-05-28 03:35:00,2018-05-28 03:45:00,-1,109.618,109.637,-2.4
273,279,2018-05-28 10:40:00,2018-05-28 11:10:00,1,109.403,109.447,3.9
305,318,2018-05-28 13:20:00,2018-05-28 14:25:00,-1,109.310,109.339,-3.4
438,476,2018-05-29 00:25:00,2018-05-29 03:35:00,-1,109.383,109.145,23.3
490,491,2018-05-29 04:45:00,2018-05-29 04:50:00,-1,109.047,109.034,0.8
526,529,2018-05-29 07:45:00,2018-05-29 08:00:00,1,108.980,109.069,8.4
561,565,2018-05-29 10:40:00,2018-05-29 11:00:00,-1,108.853,108.730,11.8
575,580,2018-05-29 11:50:00,2018-05-29 12:15:00,-1,108.591,108.688,-10.2
614,616,2018-05-29 15:05:00,2018-05-29 15:15:00,1,108.917,108.901,-2.1
648,659,2018-05-29 17:55:00,2018-05-29 18:50:00,-1,108.862,108.637,22.0
687,694,2018-05-29 21:10:00,2018-05-29 21:45:00,-1,108.443,108.161,27.7
728,736,2018-05-30 00:35:00,2018-05-30 01:15:00,-1,108.650,108.583,6.2
888,889,2018-05-30 13:55:00,2018-05-30 14:00:00,-1,108.811,108.882,-7.6
955,957,2018-05-30 19:30:00,2018-05-30 19:40:00,1,108.965,109.002,3.2
979,981,2018-05-30 21:30:00,2018-05-30 21:40:00,-1,108.850,108.849,-0.4
990,992,2018-05-30 22:25:00,2018-05-30 22:35:00,1,108.927,108.911,-2.1
1030,1033,2018-05-31 01:45:00,2018-05-31 02:00:00,-1,108.790,108.814,-2.9
1148,1155,2018-05-31 11:35:00,2018-05-31 12:10:00,1,108.845,108.919,6.9
1200,1204,2018-05-31 15:55:00,2018-05-31 16:15:00,-1,108.777,108.662,11.0
1267,1271,2018-05-31 21:30:00,2018-05-31 21:50:00,-1,108.655,108.639,1.1
1342,1349,2018-06-01 03:45:00,2018-06-01 04:20:00,1,108.868,109.102,22.9
1432,1436,2018-06-01 11:15:00,2018-06-01 11:35:00,-1,109.119,109.143,-2.9
1463,1467,2018-06-01 13:50:00,2018-06-01 14:10:00,-1,109.225,109.196,2.4
1472,1479,2018-06-01 14:35:00,2018-06-01 15:10:00,1,109.291,109.403,10.7
