entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
153,157,2018-10-08 00:35:00,2018-10-08 00:55:00,1,113.748,113.743,-1.0
163,169,2018-10-08 01:25:00,2018-10-08 01:55:00,-1,113.699,113.665,2.9
175,177,2018-10-08 02:25:00,2018-10-08 02:35:00,-1,113.706,113.688,1.3
191,197,2018-10-08 03:45:00,2018-10-08 04:15:00,1,113.837,113.882,4.0
208,210,2018-10-08 05:10:00,2018-10-08 05:20:00,-1,113.854,113.837,1.2
214,215,2018-10-08 05:40:00,2018-10-08 05:45:00,-1,113.823,113.830,-1.2
227,232,2018-10-08 06:45:00,2018-10-08 07:10:00,-1,113.846,113.855,-1.4
242,257,2018-10-08 08:00:00,2018-10-08 09:15:00,-1,113.846,113.778,6.3
263,270,2018-10-08 09:45:00,2018-10-08 10:20:00,-1,113.794,113.748,4.1
275,278,2018-10-08 10:45:00,2018-10-08 11:00:00,1,113.771,113.733,-4.3
281,287,2018-10-08 11:15:00,2018-10-08 11:45:00,-1,113.723,113.356,36.2
340,351,2018-10-08 16:10:00,2018-10-08 17:05:00,-1,113.285,113.191,8.9
401,404,2018-10-08 21:15:00,2018-10-08 21:30:00,-1,112.894,112.938,-4.9
415,420,2018-10-08 22:25:00,2018-10-08 22:50:00,1,113.001,113.119,11.3
467,474,2018-10-09 02:45:00,2018-10-09 03:20:00,-1,113.103,113.012,8.6
510,511,2018-10-09 06:20:00,2018-10-09 06:25:00,1,113.146,113.154,0.3
583,584,2018-10-09 12:25:00,2018-10-09 12:30:00,-1,113.193,113.172,1.6
