entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
161,165,2018-07-16 01:20:00,2018-07-16 01:40:00,1,112.354,112.416,5.7
193,194,2018-07-16 04:00:00,2018-07-16 04:05:00,1,112.468,112.470,-0.3
199,202,2018-07-16 04:30:00,2018-07-16 04:45:00,1,112.502,112.527,2.0
216,218,2018-07-16 05:55:00,2018-07-16 06:05:00,-1,112.477,112.467,0.5
223,224,2018-07-16 06:30:00,2018-07-16 06:35:00,-1,112.449,112.457,-1.3
246,253,2018-07-16 08:25:00,2018-07-16 09:00:00,1,112.422,112.397,-3.0
259,260,2018-07-16 09:30:00,2018-07-16 09:35:00,1,112.418,112.417,-0.6
263,264,2018-07-16 09:50:00,2018-07-16 09:55:00,-1,112.337,112.353,-2.1
268,269,2018-07-16 10:15:00,2018-07-16 10:20:00,1,112.404,112.437,2.8
273,274,2018-07-16 10:40:00,2018-07-16 10:45:00,1,112.488,112.507,1.4
282,287,2018-07-16 11:25:00,2018-07-16 11:50:00,1,112.443,112.462,1.4
293,297,2018-07-16 12:20:00,2018-07-16 12:40:00,-1,112.417,112.404,0.8
309,312,2018-07-16 13:40:00,2018-07-16 13:55:00,1,112.398,112.373,-3.0
314,319,2018-07-16 14:05:00,2018-07-16 14:30:00,-1,112.329,112.298,2.6
328,329,2018-07-16 15:15:00,2018-07-16 15:20:00,1,112.316,112.326,0.5
331,335,2018-07-16 15:30:00,2018-07-16 15:50:00,-1,112.280,112.331,-5.6
340,345,2018-07-16 16:15:00,2018-07-16 16:40:00,1,112.396,112.388,-1.3
355,356,2018-07-16 17:30:00,2018-07-16 17:35:00,-1,112.276,112.278,-0.7
358,359,2018-07-16 17:45:00,2018-07-16 17:50:00,1,112.303,112.329,2.1
364,369,2018-07-16 18:15:00,2018-07-16 18:40:00,1,112.341,112.337,-0.9
369,372,2018-07-16 18:40:00,2018-07-16 18:55:00,-1,112.337,112.303,2.9
438,451,2018-07-17 00:25:00,2018-07-17 01:30:00,-1,112.241,112.269,-3.3
452,483,2018-07-17 01:35:00,2018-07-17 04:10:00,1,112.270,112.437,16.2
508,532,2018-07-17 06:15:00,2018-07-17 08:15:00,-1,112.383,112.388,-1.0
532,538,2018-07-17 08:15:00,2018-07-17 08:45:00,1,112.388,112.403,1.0
542,543,2018-07-17 09:05:00,2018-07-17 09:10:00,1,112.384,112.389,-0.0
543,545,2018-07-17 09:10:00,2018-07-17 09:20:00,-1,112.389,112.336,4.8
570,587,2018-07-17 11:25:00,2018-07-17 12:50:00,1,112.340,112.362,1.7
594,599,2018-07-17 13:25:00,2018-07-17 13:50:00,1,112.421,112.478,5.2
603,607,2018-07-17 14:10:00,2018-07-17 14:30:00,1,112.497,112.514,1.2
620,629,2018-07-17 15:35:00,2018-07-17 16:20:00,1,112.582,112.642,5.5
642,645,2018-07-17 17:25:00,2018-07-17 17:40:00,1,112.727,112.877,14.5
668,670,2018-07-17 19:35:00,2018-07-17 19:45:00,1,112.836,112.836,-0.5
698,703,2018-07-17 22:05:00,2018-07-17 22:30:00,1,112.823,112.846,1.8
718,729,2018-07-17 23:45:00,2018-07-18 00:40:00,-1,112.838,112.869,-3.6
730,741,2018-07-18 00:45:00,2018-07-18 01:40:00,1,112.878,112.934,5.1
744,746,2018-07-18 01:55:00,2018-07-18 02:05:00,1,112.916,112.935,1.4
755,759,2018-07-18 02:50:00,2018-07-18 03:10:00,1,113.011,112.988,-2.8
764,777,2018-07-18 03:35:00,2018-07-18 04:40:00,1,113.033,112.959,-7.9
782,783,2018-07-18 05:05:00,2018-07-18 05:10:00,1,112.927,112.948,1.6
790,791,2018-07-18 05:45:00,2018-07-18 05:50:00,1,112.926,112.939,0.8
798,825,2018-07-18 06:25:00,2018-07-18 08:40:00,1,112.944,113.018,6.9
840,841,2018-07-18 09:55:00,2018-07-18 10:00:00,1,113.050,113.061,0.6
843,850,2018-07-18 10:10:00,2018-07-18 10:45:00,-1,113.051,113.025,2.1
863,865,2018-07-18 11:50:00,2018-07-18 12:00:00,1,113.034,113.020,-1.9
866,867,2018-07-18 12:05:00,2018-07-18 12:10:00,-1,113.009,112.951,5.3
883,884,2018-07-18 13:30:00,2018-07-18 13:35:00,1,112.952,112.959,0.2
888,902,2018-07-18 13:55:00,2018-07-18 15:05:00,1,112.983,112.868,-12.0
