entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
171,172,2018-07-02 02:10:00,2018-07-02 02:15:00,1,110.683,110.714,2.6
176,178,2018-07-02 02:35:00,2018-07-02 02:45:00,1,110.726,110.720,-1.1
186,195,2018-07-02 03:25:00,2018-07-02 04:10:00,1,110.737,110.842,10.0
207,208,2018-07-02 05:10:00,2018-07-02 05:15:00,-1,110.960,111.014,-5.9
210,214,2018-07-02 05:25:00,2018-07-02 05:45:00,1,111.033,110.982,-5.6
214,223,2018-07-02 05:45:00,2018-07-02 06:30:00,-1,110.982,110.953,2.4
225,233,2018-07-02 06:40:00,2018-07-02 07:20:00,-1,110.917,110.754,15.8
261,262,2018-07-02 09:40:00,2018-07-02 09:45:00,1,110.723,110.696,-3.2
265,266,2018-07-02 10:00:00,2018-07-02 10:05:00,-1,110.694,110.676,1.3
281,294,2018-07-02 11:20:00,2018-07-02 12:25:00,1,110.722,110.767,4.0
338,343,2018-07-02 16:05:00,2018-07-02 16:30:00,1,110.844,110.874,2.5
464,468,2018-07-03 02:35:00,2018-07-03 02:55:00,-1,110.827,110.850,-2.8
472,476,2018-07-03 03:15:00,2018-07-03 03:35:00,1,110.905,110.927,1.7
484,485,2018-07-03 04:15:00,2018-07-03 04:20:00,1,111.060,111.058,-0.7
543,547,2018-07-03 09:10:00,2018-07-03 09:30:00,1,110.943,110.985,3.7
553,557,2018-07-03 10:00:00,2018-07-03 10:20:00,1,111.041,111.063,1.7
559,560,2018-07-03 10:30:00,2018-07-03 10:35:00,-1,110.989,110.974,1.0
568,571,2018-07-03 11:15:00,2018-07-03 11:30:00,-1,110.933,110.919,0.9
581,582,2018-07-03 12:20:00,2018-07-03 12:25:00,1,110.880,110.897,1.2
606,609,2018-07-03 14:25:00,2018-07-03 14:40:00,1,110.812,110.846,2.9
609,610,2018-07-03 14:40:00,2018-07-03 14:45:00,-1,110.846,110.834,0.7
612,624,2018-07-03 14:55:00,2018-07-03 15:55:00,-1,110.830,110.672,15.3
717,718,2018-07-03 23:40:00,2018-07-03 23:45:00,1,110.571,110.564,-1.2
734,739,2018-07-04 01:05:00,2018-07-04 01:30:00,-1,110.557,110.546,0.6
756,757,2018-07-04 02:55:00,2018-07-04 03:00:00,-1,110.431,110.404,2.2
767,768,2018-07-04 03:50:00,2018-07-04 03:55:00,-1,110.403,110.344,5.4
792,793,2018-07-04 05:55:00,2018-07-04 06:00:00,1,110.390,110.401,0.6
803,805,2018-07-04 06:50:00,2018-07-04 07:00:00,1,110.417,110.432,1.0
837,842,2018-07-04 09:40:00,2018-07-04 10:05:00,-1,110.359,110.347,0.7
913,944,2018-07-04 16:00:00,2018-07-04 18:35:00,1,110.482,110.520,3.3
1001,1096,2018-07-04 23:20:00,2018-07-05 07:15:00,1,110.468,110.356,-11.7
1097,1106,2018-07-05 07:20:00,2018-07-05 08:05:00,-1,110.350,110.369,-2.4
1112,1113,2018-07-05 08:35:00,2018-07-05 08:40:00,1,110.458,110.497,3.4
1194,1196,2018-07-05 15:25:00,2018-07-05 15:35:00,-1,110.583,110.543,3.5
1219,1237,2018-07-05 17:30:00,2018-07-05 19:00:00,-1,110.553,110.590,-4.2
1248,1250,2018-07-05 19:55:00,2018-07-05 20:05:00,1,110.613,110.655,3.7
1255,1259,2018-07-05 20:30:00,2018-07-05 20:50:00,1,110.644,110.656,0.7
1317,1320,2018-07-06 01:40:00,2018-07-06 01:55:00,-1,110.637,110.647,-1.5
1334,1337,2018-07-06 03:05:00,2018-07-06 03:20:00,-1,110.540,110.556,-2.1
1342,1344,2018-07-06 03:45:00,2018-07-06 03:55:00,1,110.591,110.667,7.1
1354,1355,2018-07-06 04:45:00,2018-07-06 04:50:00,1,110.721,110.720,-0.6
1399,1400,2018-07-06 08:30:00,2018-07-06 08:35:00,1,110.751,110.752,-0.4
1409,1413,2018-07-06 09:20:00,2018-07-06 09:40:00,-1,110.690,110.659,2.6
1437,1440,2018-07-06 11:40:00,2018-07-06 11:55:00,1,110.590,110.615,2.0
1448,1451,2018-07-06 12:35:00,2018-07-06 12:50:00,1,110.616,110.606,-1.5
1455,1481,2018-07-06 13:10:00,2018-07-06 15:20:00,1,110.640,110.607,-3.8
1516,1521,2018-07-06 18:15:00,2018-07-06 18:40:00,1,110.437,110.461,1.9
1528,1531,2018-07-06 19:15:00,2018-07-06 19:30:00,1,110.525,110.518,-1.2
1562,1563,2018-07-06 22:05:00,2018-07-06 22:10:00,-1,110.405,110.410,-1.0
