entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
260,265,2018-01-08 09:25:00,2018-01-08 09:50:00,-1,113.248,113.326,-8.299999999998875
265,274,2018-01-08 09:50:00,2018-01-08 10:35:00,1,113.326,113.271,-5.999999999999261
274,280,2018-01-08 10:35:00,2018-01-08 11:05:00,-1,113.271,113.228,3.8000000000006366
297,303,2018-01-08 12:30:00,2018-01-08 13:00:00,-1,113.135,113.114,1.6000000000000796
412,424,2018-01-08 22:05:00,2018-01-08 23:05:00,-1,113.072,113.06,0.7000000000000455
443,456,2018-01-09 00:40:00,2018-01-09 01:45:00,1,113.107,113.091,-2.1000000000005343
482,503,2018-01-09 03:55:00,2018-01-09 05:40:00,1,112.671,112.666,-1.0000000000009663
630,634,2018-01-09 16:15:00,2018-01-09 16:35:00,-1,112.605,112.691,-9.099999999999852
634,636,2018-01-09 16:35:00,2018-01-09 16:45:00,1,112.691,112.729,3.2999999999996703
645,654,2018-01-09 17:30:00,2018-01-09 18:15:00,1,112.583,112.479,-10.89999999999992
654,696,2018-01-09 18:15:00,2018-01-09 21:45:00,-1,112.479,112.587,-11.30000000000041
698,703,2018-01-09 21:55:00,2018-01-09 22:20:00,1,112.634,112.65,1.1000000000005343
733,742,2018-01-10 00:50:00,2018-01-10 01:35:00,-1,112.623,112.711,-9.299999999999386
763,785,2018-01-10 03:20:00,2018-01-10 05:10:00,1,112.377,112.232,-14.999999999999602
836,859,2018-01-10 09:25:00,2018-01-10 11:20:00,-1,111.864,111.768,9.100000000000364
1035,1048,2018-01-11 02:00:00,2018-01-11 03:05:00,1,111.45,111.554,9.89999999999992
1186,1214,2018-01-11 14:35:00,2018-01-11 16:55:00,-1,111.643,111.495,14.299999999999613
1307,1327,2018-01-12 00:40:00,2018-01-12 02:20:00,-1,111.224,111.13,8.90000000000083
1348,1358,2018-01-12 04:05:00,2018-01-12 04:55:00,-1,111.303,111.221,7.699999999999363
1408,1417,2018-01-12 09:05:00,2018-01-12 09:50:00,-1,111.287,111.331,-4.899999999999693
1442,1464,2018-01-12 11:55:00,2018-01-12 13:45:00,1,111.098,111.134,3.1000000000001364entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
