entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
168,170,2018-12-24 01:55:00,2018-12-24 02:05:00,1,111.051,111.074,1.8
211,213,2018-12-24 05:30:00,2018-12-24 05:40:00,1,111.059,111.085,2.1
222,237,2018-12-24 06:25:00,2018-12-24 07:40:00,1,111.088,111.101,0.8
250,256,2018-12-24 08:45:00,2018-12-24 09:15:00,-1,111.083,111.065,1.3
267,273,2018-12-24 10:10:00,2018-12-24 10:40:00,1,111.023,110.966,-6.2
290,296,2018-12-24 12:05:00,2018-12-24 12:35:00,1,111.063,111.071,0.3
302,323,2018-12-24 13:05:00,2018-12-24 14:50:00,1,111.093,111.008,-9.0
378,382,2018-12-24 19:25:00,2018-12-24 19:45:00,-1,110.440,110.370,6.5
445,448,2018-12-26 11:35:00,2018-12-26 11:50:00,-1,110.509,110.534,-3.0
448,460,2018-12-26 11:50:00,2018-12-26 12:50:00,1,110.534,110.544,0.5
504,506,2018-12-26 16:30:00,2018-12-26 16:40:00,1,110.584,110.621,3.2
526,531,2018-12-26 18:20:00,2018-12-26 18:45:00,-1,110.412,110.388,1.9
564,576,2018-12-26 21:30:00,2018-12-26 22:30:00,1,110.939,111.339,39.5
616,635,2018-12-27 01:50:00,2018-12-27 03:25:00,-1,111.204,111.051,14.8
674,678,2018-12-27 06:40:00,2018-12-27 07:00:00,-1,110.917,110.997,-8.5
686,688,2018-12-27 07:40:00,2018-12-27 07:50:00,1,111.059,111.097,3.3
705,706,2018-12-27 09:15:00,2018-12-27 09:20:00,-1,111.060,111.005,5.0
710,711,2018-12-27 09:40:00,2018-12-27 09:45:00,-1,111.003,110.952,4.6
718,727,2018-12-27 10:20:00,2018-12-27 11:05:00,-1,110.874,110.822,4.7
759,761,2018-12-27 13:45:00,2018-12-27 13:55:00,1,110.836,110.898,5.7
763,764,2018-12-27 14:05:00,2018-12-27 14:10:00,1,110.841,110.828,-1.8
771,772,2018-12-27 14:45:00,2018-12-27 14:50:00,-1,110.809,110.776,2.8
779,791,2018-12-27 15:25:00,2018-12-27 16:25:00,1,110.817,110.726,-9.6
797,801,2018-12-27 16:55:00,2018-12-27 17:15:00,1,110.775,110.757,-2.3
806,825,2018-12-27 17:40:00,2018-12-27 19:15:00,-1,110.718,110.643,7.0
837,838,2018-12-27 20:15:00,2018-12-27 20:20:00,-1,110.629,110.605,1.9
847,855,2018-12-27 21:05:00,2018-12-27 21:45:00,-1,110.536,110.638,-10.7
862,864,2018-12-27 22:20:00,2018-12-27 22:30:00,1,110.847,110.924,7.2
871,877,2018-12-27 23:05:00,2018-12-27 23:35:00,-1,111.003,111.020,-2.2
886,921,2018-12-28 00:20:00,2018-12-28 03:15:00,-1,110.934,110.804,12.5
929,948,2018-12-28 03:55:00,2018-12-28 05:30:00,-1,110.734,110.603,12.6
956,957,2018-12-28 06:10:00,2018-12-28 06:15:00,-1,110.591,110.557,2.9
974,985,2018-12-28 07:40:00,2018-12-28 08:35:00,1,110.645,110.603,-4.7
1028,1029,2018-12-28 12:10:00,2018-12-28 12:15:00,-1,110.394,110.356,3.3
1038,1039,2018-12-28 13:00:00,2018-12-28 13:05:00,-1,110.283,110.247,3.1
1073,1074,2018-12-28 15:55:00,2018-12-28 16:00:00,1,110.317,110.346,2.4
1120,1124,2018-12-28 19:50:00,2018-12-28 20:10:00,1,110.383,110.407,1.9
1130,1150,2018-12-28 20:40:00,2018-12-28 22:20:00,-1,110.341,110.306,3.0
1164,1168,2018-12-28 23:30:00,2018-12-28 23:50:00,-1,110.202,110.286,-8.9
