entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
183,185,2018-10-15 03:10:00,2018-10-15 03:20:00,-1,112.113,112.075,3.3
195,198,2018-10-15 04:10:00,2018-10-15 04:25:00,1,111.993,112.079,8.1
223,226,2018-10-15 06:30:00,2018-10-15 06:45:00,-1,112.078,112.050,2.3
272,274,2018-10-15 10:35:00,2018-10-15 10:45:00,1,111.756,111.748,-1.3
306,311,2018-10-15 13:25:00,2018-10-15 13:50:00,1,111.722,111.740,1.3
348,351,2018-10-15 16:55:00,2018-10-15 17:10:00,-1,111.783,111.686,9.2
373,375,2018-10-15 19:00:00,2018-10-15 19:10:00,-1,111.818,111.787,2.6
385,416,2018-10-15 20:00:00,2018-10-15 22:35:00,-1,111.790,111.805,-2.0
435,443,2018-10-16 00:10:00,2018-10-16 00:50:00,-1,111.775,111.768,0.2
458,464,2018-10-16 02:05:00,2018-10-16 02:35:00,1,111.771,111.816,4.0
471,475,2018-10-16 03:10:00,2018-10-16 03:30:00,1,111.814,111.827,0.8
507,516,2018-10-16 06:10:00,2018-10-16 06:55:00,1,111.963,111.978,1.0
521,524,2018-10-16 07:20:00,2018-10-16 07:35:00,1,111.964,111.981,1.2
529,535,2018-10-16 08:00:00,2018-10-16 08:30:00,1,112.023,112.121,9.3
585,592,2018-10-16 12:40:00,2018-10-16 13:15:00,-1,112.067,112.097,-3.5
620,621,2018-10-16 15:35:00,2018-10-16 15:40:00,1,112.086,112.118,2.7
626,631,2018-10-16 16:05:00,2018-10-16 16:30:00,1,112.146,112.103,-4.8
646,647,2018-10-16 17:45:00,2018-10-16 17:50:00,-1,112.218,112.176,3.7
662,665,2018-10-16 19:05:00,2018-10-16 19:20:00,-1,112.137,112.111,2.1
685,723,2018-10-16 21:00:00,2018-10-17 00:10:00,1,112.221,112.262,3.6
820,832,2018-10-17 08:15:00,2018-10-17 09:15:00,-1,112.252,112.210,3.7
847,853,2018-10-17 10:30:00,2018-10-17 11:00:00,-1,112.234,112.225,0.4
863,867,2018-10-17 11:50:00,2018-10-17 12:10:00,1,112.203,112.224,1.6
895,901,2018-10-17 14:30:00,2018-10-17 15:00:00,-1,112.247,112.270,-2.8
909,933,2018-10-17 15:40:00,2018-10-17 17:40:00,-1,112.246,112.033,20.8
979,981,2018-10-17 21:30:00,2018-10-17 21:40:00,1,112.374,112.406,2.7
1072,1081,2018-10-18 05:15:00,2018-10-18 06:00:00,-1,112.523,112.502,1.6
1114,1115,2018-10-18 08:45:00,2018-10-18 08:50:00,1,112.484,112.500,1.1
1143,1146,2018-10-18 11:10:00,2018-10-18 11:25:00,1,112.576,112.588,0.7
1155,1156,2018-10-18 12:10:00,2018-10-18 12:15:00,-1,112.562,112.537,2.0
1179,1180,2018-10-18 14:10:00,2018-10-18 14:15:00,-1,112.503,112.488,1.0
1196,1197,2018-10-18 15:35:00,2018-10-18 15:40:00,1,112.484,112.492,0.3
1199,1208,2018-10-18 15:50:00,2018-10-18 16:35:00,-1,112.482,112.513,-3.6
1214,1215,2018-10-18 17:05:00,2018-10-18 17:10:00,-1,112.517,112.457,5.5
1226,1233,2018-10-18 18:05:00,2018-10-18 18:40:00,-1,112.402,112.150,24.7
1253,1258,2018-10-18 20:20:00,2018-10-18 20:45:00,-1,112.074,111.984,8.5
1286,1294,2018-10-18 23:05:00,2018-10-18 23:45:00,1,112.212,112.150,-6.7
1328,1338,2018-10-19 02:35:00,2018-10-19 03:25:00,-1,112.170,112.217,-5.2
1348,1357,2018-10-19 04:15:00,2018-10-19 05:00:00,1,112.273,112.370,9.2
1373,1373,2018-10-19 06:20:00,2018-10-19 06:20:00,1,112.390,112.390,-0.5
1372,1378,2018-10-19 06:15:00,2018-10-19 06:45:00,1,112.362,112.377,1.0
1385,1397,2018-10-19 07:20:00,2018-10-19 08:20:00,1,112.387,112.461,6.9
1410,1416,2018-10-19 09:25:00,2018-10-19 09:55:00,1,112.479,112.436,-4.8
1453,1456,2018-10-19 13:00:00,2018-10-19 13:15:00,-1,112.355,112.351,-0.1
1472,1478,2018-10-19 14:35:00,2018-10-19 15:05:00,-1,112.493,112.460,2.8
1495,1512,2018-10-19 16:30:00,2018-10-19 17:55:00,-1,112.375,112.488,-11.8
1529,1544,2018-10-19 19:20:00,2018-10-19 20:35:00,1,112.455,112.523,6.3
