entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
187,191,2018-07-30 03:30:00,2018-07-30 03:50:00,-1,110.916,110.935,-2.4
201,202,2018-07-30 04:40:00,2018-07-30 04:45:00,1,111.020,111.051,2.6
205,215,2018-07-30 05:00:00,2018-07-30 05:50:00,1,111.049,111.109,5.5
232,233,2018-07-30 07:15:00,2018-07-30 07:20:00,1,111.135,111.130,-1.0
236,239,2018-07-30 07:35:00,2018-07-30 07:50:00,-1,111.066,111.046,1.5
268,269,2018-07-30 10:15:00,2018-07-30 10:20:00,1,111.082,111.107,2.0
274,278,2018-07-30 10:45:00,2018-07-30 11:05:00,-1,111.034,111.036,-0.7
293,295,2018-07-30 12:20:00,2018-07-30 12:30:00,-1,111.047,111.053,-1.1
315,316,2018-07-30 14:10:00,2018-07-30 14:15:00,1,111.061,111.064,-0.2
323,324,2018-07-30 14:50:00,2018-07-30 14:55:00,-1,111.051,111.039,0.7
327,329,2018-07-30 15:10:00,2018-07-30 15:20:00,1,111.062,111.082,1.5
334,335,2018-07-30 15:45:00,2018-07-30 15:50:00,1,111.075,111.098,1.8
338,339,2018-07-30 16:05:00,2018-07-30 16:10:00,1,111.068,111.064,-0.9
341,346,2018-07-30 16:20:00,2018-07-30 16:45:00,-1,111.044,111.001,3.8
355,358,2018-07-30 17:30:00,2018-07-30 17:45:00,-1,110.952,110.931,1.6
363,366,2018-07-30 18:10:00,2018-07-30 18:25:00,1,110.960,110.989,2.4
374,379,2018-07-30 19:05:00,2018-07-30 19:30:00,1,110.972,110.990,1.3
406,433,2018-07-30 21:45:00,2018-07-31 00:00:00,1,110.972,111.059,8.2
460,465,2018-07-31 02:15:00,2018-07-31 02:40:00,-1,111.006,111.019,-1.8
490,496,2018-07-31 04:45:00,2018-07-31 05:15:00,1,111.030,111.058,2.3
511,513,2018-07-31 06:30:00,2018-07-31 06:40:00,-1,111.003,110.981,1.7
522,523,2018-07-31 07:25:00,2018-07-31 07:30:00,-1,111.244,111.128,11.1
536,537,2018-07-31 08:35:00,2018-07-31 08:40:00,1,111.094,111.174,7.5
545,546,2018-07-31 09:20:00,2018-07-31 09:25:00,1,111.221,111.289,6.3
549,549,2018-07-31 09:40:00,2018-07-31 09:40:00,1,111.123,111.123,-0.5
567,569,2018-07-31 11:10:00,2018-07-31 11:20:00,1,111.398,111.362,-4.1
572,575,2018-07-31 11:35:00,2018-07-31 11:50:00,1,111.383,111.450,6.2
580,582,2018-07-31 12:15:00,2018-07-31 12:25:00,1,111.517,111.478,-4.4
582,602,2018-07-31 12:25:00,2018-07-31 14:05:00,-1,111.478,111.521,-4.8
604,625,2018-07-31 14:15:00,2018-07-31 16:00:00,-1,111.465,111.501,-4.1
629,636,2018-07-31 16:20:00,2018-07-31 16:55:00,1,111.769,111.858,8.4
671,678,2018-07-31 19:50:00,2018-07-31 20:25:00,1,111.837,111.827,-1.5
679,688,2018-07-31 20:30:00,2018-07-31 21:15:00,-1,111.823,111.797,2.1
727,744,2018-08-01 00:30:00,2018-08-01 01:55:00,1,111.827,111.706,-12.6
794,812,2018-08-01 06:05:00,2018-08-01 07:35:00,1,111.876,111.923,4.2
827,847,2018-08-01 08:50:00,2018-08-01 10:30:00,1,111.967,112.085,11.3
884,887,2018-08-01 13:35:00,2018-08-01 13:50:00,-1,111.913,111.902,0.6
919,928,2018-08-01 16:30:00,2018-08-01 17:15:00,1,111.960,111.901,-6.4
964,968,2018-08-01 20:15:00,2018-08-01 20:35:00,-1,111.707,111.676,2.6
1053,1056,2018-08-02 03:40:00,2018-08-02 03:55:00,1,111.667,111.680,0.8
1061,1064,2018-08-02 04:20:00,2018-08-02 04:35:00,1,111.666,111.599,-7.2
1074,1078,2018-08-02 05:25:00,2018-08-02 05:45:00,1,111.594,111.641,4.2
1102,1103,2018-08-02 07:45:00,2018-08-02 07:50:00,1,111.553,111.561,0.3
1127,1129,2018-08-02 09:50:00,2018-08-02 10:00:00,1,111.616,111.641,2.0
1144,1148,2018-08-02 11:15:00,2018-08-02 11:35:00,1,111.642,111.605,-4.2
