entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
169,196,2018-06-18 02:00:00,2018-06-18 04:15:00,-1,110.608,110.495,10.8
241,268,2018-06-18 08:00:00,2018-06-18 10:15:00,1,110.493,110.584,8.6
309,312,2018-06-18 13:40:00,2018-06-18 13:55:00,-1,110.498,110.487,0.6
350,359,2018-06-18 17:05:00,2018-06-18 17:50:00,-1,110.400,110.417,-2.2
390,387,2018-06-18 20:25:00,2018-06-18 20:10:00,1,110.503,110.493,-1.5
390,391,2018-06-18 20:25:00,2018-06-18 20:30:00,1,110.503,110.503,-0.5
412,421,2018-06-18 22:15:00,2018-06-18 23:00:00,1,110.530,110.563,2.8
465,466,2018-06-19 02:40:00,2018-06-19 02:45:00,-1,110.272,110.234,3.3
585,587,2018-06-19 12:40:00,2018-06-19 12:50:00,1,109.850,109.862,0.7
632,633,2018-06-19 16:35:00,2018-06-19 16:40:00,1,109.953,109.967,0.9
637,640,2018-06-19 17:00:00,2018-06-19 17:15:00,-1,109.848,109.783,6.0
641,643,2018-06-19 17:20:00,2018-06-19 17:30:00,-1,109.794,109.724,6.5
658,659,2018-06-19 18:45:00,2018-06-19 18:50:00,1,110.033,110.056,1.8
669,672,2018-06-19 19:40:00,2018-06-19 19:55:00,-1,109.941,109.913,2.3
709,712,2018-06-19 23:00:00,2018-06-19 23:15:00,-1,110.018,110.035,-2.2
744,750,2018-06-20 01:55:00,2018-06-20 02:25:00,1,110.025,110.099,6.9
818,824,2018-06-20 08:05:00,2018-06-20 08:35:00,1,110.125,110.209,7.9
912,915,2018-06-20 15:55:00,2018-06-20 16:10:00,-1,110.028,110.044,-2.1
941,944,2018-06-20 18:20:00,2018-06-20 18:35:00,-1,110.072,110.102,-3.5
956,960,2018-06-20 19:35:00,2018-06-20 19:55:00,1,110.201,110.219,1.3
1063,1067,2018-06-21 04:30:00,2018-06-21 04:50:00,1,110.439,110.450,0.6
1088,1121,2018-06-21 06:35:00,2018-06-21 09:20:00,1,110.554,110.679,12.0
1179,1180,2018-06-21 14:10:00,2018-06-21 14:15:00,1,110.540,110.564,1.9
1193,1195,2018-06-21 15:20:00,2018-06-21 15:30:00,1,110.542,110.516,-3.1
1199,1203,2018-06-21 15:50:00,2018-06-21 16:10:00,-1,110.246,110.276,-3.5
1243,1258,2018-06-21 19:30:00,2018-06-21 20:45:00,-1,110.036,109.903,12.8
1375,1378,2018-06-22 06:30:00,2018-06-22 06:45:00,-1,109.975,109.945,2.5
1433,1436,2018-06-22 11:20:00,2018-06-22 11:35:00,1,110.164,110.164,-0.5
1443,1500,2018-06-22 12:10:00,2018-06-22 16:55:00,-1,110.136,110.053,7.8
1510,1511,2018-06-22 17:45:00,2018-06-22 17:50:00,-1,109.861,109.847,0.9
