entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
158,165,2018-02-26 01:05:00,2018-02-26 01:40:00,-1,106.953,107.070,-12.2
255,277,2018-02-26 09:10:00,2018-02-26 11:00:00,-1,106.534,106.608,-7.9
318,338,2018-02-26 14:25:00,2018-02-26 16:05:00,-1,106.749,106.867,-12.3
389,417,2018-02-26 20:20:00,2018-02-26 22:40:00,1,106.978,106.945,-3.8
525,565,2018-02-27 07:40:00,2018-02-27 11:00:00,-1,106.871,107.053,-18.7
565,601,2018-02-27 11:00:00,2018-02-27 14:00:00,-1,107.053,106.950,9.8
640,646,2018-02-27 17:15:00,2018-02-27 17:45:00,-1,107.190,107.462,-27.7
669,718,2018-02-27 19:40:00,2018-02-27 23:45:00,-1,107.406,107.327,7.4
763,773,2018-02-28 03:30:00,2018-02-28 04:20:00,-1,107.204,107.128,7.1
781,820,2018-02-28 05:00:00,2018-02-28 08:15:00,1,107.311,107.068,-24.8
820,849,2018-02-28 08:15:00,2018-02-28 10:40:00,-1,107.068,107.158,-9.5
905,942,2018-02-28 15:20:00,2018-02-28 18:25:00,-1,107.017,106.677,33.5
1086,1122,2018-03-01 06:25:00,2018-03-01 09:25:00,1,106.844,106.806,-4.3
1175,1206,2018-03-01 13:50:00,2018-03-01 16:25:00,-1,106.691,106.926,-24.0
1245,1253,2018-03-01 19:40:00,2018-03-01 20:20:00,-1,106.805,106.729,7.1
1309,1358,2018-03-02 01:00:00,2018-03-02 05:05:00,-1,106.086,106.053,2.8
1397,1410,2018-03-02 08:20:00,2018-03-02 09:25:00,1,105.822,105.919,9.2
1455,1462,2018-03-02 13:10:00,2018-03-02 13:45:00,-1,105.366,105.341,2.0
1541,1546,2018-03-02 20:20:00,2018-03-02 20:45:00,-1,105.452,105.484,-3.7
1569,1586,2018-03-02 22:40:00,2018-03-04 23:30:00,1,105.706,105.702,-0.9
