entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
174,175,2018-12-17 02:20:00,2018-12-17 02:25:00,-1,113.370,113.391,-2.6
183,185,2018-12-17 03:05:00,2018-12-17 03:15:00,1,113.414,113.424,0.5
211,219,2018-12-17 05:25:00,2018-12-17 06:05:00,-1,113.474,113.463,0.6
224,263,2018-12-17 06:30:00,2018-12-17 09:45:00,-1,113.436,113.378,5.3
269,269,2018-12-17 10:15:00,2018-12-17 10:15:00,1,113.400,113.400,-0.5
269,277,2018-12-17 10:15:00,2018-12-17 10:55:00,-1,113.400,113.372,2.3
295,299,2018-12-17 12:25:00,2018-12-17 12:45:00,-1,113.329,113.301,2.3
347,357,2018-12-17 16:45:00,2018-12-17 17:35:00,-1,113.000,112.936,5.9
380,387,2018-12-17 19:30:00,2018-12-17 20:05:00,-1,112.868,112.767,9.6
415,423,2018-12-17 22:25:00,2018-12-17 23:05:00,1,112.734,112.795,5.6
463,464,2018-12-18 02:25:00,2018-12-18 02:30:00,-1,112.783,112.744,3.4
517,520,2018-12-18 06:55:00,2018-12-18 07:10:00,-1,112.536,112.518,1.3
546,555,2018-12-18 09:20:00,2018-12-18 10:05:00,1,112.581,112.521,-6.5
586,587,2018-12-18 12:40:00,2018-12-18 12:45:00,1,112.323,112.367,3.9
616,617,2018-12-18 15:10:00,2018-12-18 15:15:00,1,112.363,112.371,0.3
640,643,2018-12-18 17:10:00,2018-12-18 17:25:00,1,112.498,112.529,2.6
655,664,2018-12-18 18:25:00,2018-12-18 19:10:00,1,112.490,112.550,5.5
670,674,2018-12-18 19:40:00,2018-12-18 20:00:00,1,112.554,112.579,2.0
680,707,2018-12-18 20:30:00,2018-12-18 22:45:00,1,112.546,112.569,1.8
739,742,2018-12-19 01:25:00,2018-12-19 01:40:00,-1,112.450,112.486,-4.1
755,763,2018-12-19 02:45:00,2018-12-19 03:25:00,-1,112.432,112.386,4.1
808,809,2018-12-19 07:10:00,2018-12-19 07:15:00,-1,112.311,112.293,1.3
826,832,2018-12-19 08:40:00,2018-12-19 09:10:00,1,112.361,112.382,1.6
840,855,2018-12-19 09:50:00,2018-12-19 11:05:00,1,112.397,112.353,-4.9
866,866,2018-12-19 12:00:00,2018-12-19 12:00:00,-1,112.346,112.346,-0.5
866,867,2018-12-19 12:00:00,2018-12-19 12:05:00,1,112.346,112.377,2.6
872,872,2018-12-19 12:30:00,2018-12-19 12:30:00,-1,112.324,112.324,-0.5
871,873,2018-12-19 12:25:00,2018-12-19 12:35:00,-1,112.354,112.320,2.9
879,904,2018-12-19 13:05:00,2018-12-19 15:10:00,-1,112.320,112.327,-1.2
914,916,2018-12-19 16:00:00,2018-12-19 16:10:00,-1,112.325,112.311,0.9
930,933,2018-12-19 17:20:00,2018-12-19 17:35:00,1,112.189,112.224,3.0
939,951,2018-12-19 18:05:00,2018-12-19 19:05:00,1,112.241,112.157,-8.9
960,969,2018-12-19 19:50:00,2018-12-19 20:35:00,1,112.171,112.189,1.3
973,978,2018-12-19 20:55:00,2018-12-19 21:20:00,1,112.232,112.406,16.9
983,984,2018-12-19 21:45:00,2018-12-19 21:50:00,1,112.351,112.457,10.1
1005,1013,2018-12-19 23:35:00,2018-12-20 00:15:00,1,112.508,112.439,-7.4
1029,1030,2018-12-20 01:35:00,2018-12-20 01:40:00,-1,112.462,112.411,4.6
1051,1064,2018-12-20 03:25:00,2018-12-20 04:30:00,1,112.519,112.443,-8.1
1082,1084,2018-12-20 06:00:00,2018-12-20 06:10:00,-1,112.343,112.284,5.4
1092,1101,2018-12-20 06:50:00,2018-12-20 07:35:00,-1,112.277,112.178,9.4
1188,1193,2018-12-20 14:50:00,2018-12-20 15:15:00,1,111.757,111.700,-6.2
1199,1241,2018-12-20 15:45:00,2018-12-20 19:15:00,-1,111.596,111.274,31.7
1268,1275,2018-12-20 21:30:00,2018-12-20 22:05:00,-1,110.986,111.116,-13.5
1293,1297,2018-12-20 23:35:00,2018-12-20 23:55:00,1,111.208,111.272,5.9
1353,1354,2018-12-21 04:35:00,2018-12-21 04:40:00,-1,111.215,111.191,1.9
1369,1371,2018-12-21 05:55:00,2018-12-21 06:05:00,1,111.274,111.299,2.0
1378,1389,2018-12-21 06:40:00,2018-12-21 07:35:00,1,111.358,111.407,4.4
1408,1418,2018-12-21 09:10:00,2018-12-21 10:00:00,-1,111.319,111.255,5.9
1432,1442,2018-12-21 11:10:00,2018-12-21 12:00:00,-1,111.201,111.155,4.1
1457,1461,2018-12-21 13:15:00,2018-12-21 13:35:00,1,111.170,111.197,2.2
1485,1488,2018-12-21 15:35:00,2018-12-21 15:50:00,1,111.219,111.191,-3.3
1499,1505,2018-12-21 16:45:00,2018-12-21 17:15:00,-1,110.986,111.280,-29.9
1521,1522,2018-12-21 18:35:00,2018-12-21 18:40:00,-1,111.213,111.192,1.6
1527,1528,2018-12-21 19:05:00,2018-12-21 19:10:00,1,111.131,111.167,3.1
1546,1548,2018-12-21 20:40:00,2018-12-21 20:50:00,-1,111.378,111.366,0.7
1556,1557,2018-12-21 21:30:00,2018-12-21 21:35:00,-1,111.323,111.293,2.5
1568,1572,2018-12-21 22:30:00,2018-12-21 22:50:00,1,111.309,111.290,-2.4
